USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.1  23356 14356 ?        Ss   18:03   0:06 /sbin/init splash
root         266  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_26]
root         267  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_27]
root         268  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_27]
root         269  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_28]
root         270  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_28]
root         271  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_29]
root         272  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_29]
root         273  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_30]
root         274  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_30]
root         275  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_31]
root         276  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_31]
root         277  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_32]
root         278  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_32]
root         354  0.0  0.0      0     0 ?        S    18:03   0:02 [jbd2/sda2-8]
root         355  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-ext4-rsv-conversion]
root         403  0.0  0.2  51132 18132 ?        S<s  18:03   0:00 /usr/lib/systemd/systemd-journald
root         439  0.0  0.0 152476  1524 ?        Ssl  18:03   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         457  0.1  0.0      0     0 ?        S    18:03   0:09 [irq/16-vmwgfx]
root         458  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-ttm]
root         463  0.0  0.1  32436 10544 ?        Ss   18:03   0:00 /usr/lib/systemd/systemd-udevd
root         517  0.0  0.0      0     0 ?        S    18:03   0:00 [psimon]
systemd+     634  0.0  0.0  17556  7632 ?        Ss   18:03   0:02 /usr/lib/systemd/systemd-oomd
systemd+     644  0.0  0.1  21824 13252 ?        Ss   18:03   0:00 /usr/lib/systemd/systemd-resolved
systemd+     651  0.0  0.0  91044  7748 ?        Ssl  18:03   0:00 /usr/lib/systemd/systemd-timesyncd
root         776  0.0  0.1  64904 12080 ?        Ss   18:03   0:00 /usr/bin/VGAuthService
root         789  1.0  0.1 253684  9092 ?        Ssl  18:03   0:50 /usr/bin/vmtoolsd
root         824  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/57-vmw_vmci]
root         826  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/58-vmw_vmci]
root         827  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/59-vmw_vmci]
avahi       1000  0.0  0.0   8664  4512 ?        Ss   18:03   0:00 avahi-daemon: running [brigitte-VMware-Virtual-Platform.local]
message+    1001  0.0  0.0  12204  7456 ?        Ss   18:03   0:01 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1019  0.0  0.2 365340 16364 ?        Ssl  18:03   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1043  0.0  0.1 400220 12716 ?        Ssl  18:03   0:01 /usr/lib/polkit-1/polkitd --no-debug
root        1052  0.0  0.0 322388  7464 ?        Ssl  18:03   0:00 /usr/libexec/power-profiles-daemon
root        1073  0.1  0.5 2069968 40968 ?       Ssl  18:03   0:07 /usr/lib/snapd/snapd
root        1084  0.0  0.0 322264  7868 ?        Ssl  18:03   0:00 /usr/libexec/accounts-daemon
root        1097  0.0  0.0  18092  2768 ?        Ss   18:03   0:00 /usr/sbin/cron -f -P
root        1109  0.0  0.0 318680  6724 ?        Ssl  18:03   0:00 /usr/libexec/switcheroo-control
root        1114  0.0  0.1  18280  8740 ?        Ss   18:03   0:00 /usr/lib/systemd/systemd-logind
root        1123  0.0  0.1 543420 14632 ?        Ssl  18:03   0:00 /usr/libexec/udisks2/udisksd
avahi       1162  0.0  0.0   8476  1400 ?        S    18:03   0:00 avahi-daemon: chroot helper
root        1164  0.0  0.2 345684 19504 ?        Ssl  18:03   0:00 /usr/sbin/NetworkManager --no-daemon
root        1165  0.0  0.0  17380  6268 ?        Ss   18:03   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1178  0.0  0.0 222564  6036 ?        Ssl  18:03   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1253  0.0  0.1 392088 12900 ?        Ssl  18:03   0:00 /usr/sbin/ModemManager
root        1467  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-cryptd]
root        1629  0.0  0.1  46612 11680 ?        Ss   18:03   0:00 /usr/sbin/cupsd -l
root        1645  0.0  0.2 120912 22892 ?        Ssl  18:03   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
cups-br+    1688  0.0  0.2 268340 19624 ?        Ssl  18:03   0:00 /usr/sbin/cups-browsed
kernoops    1701  0.0  0.0  12744  2360 ?        Ss   18:03   0:00 /usr/sbin/kerneloops --test
kernoops    1715  0.0  0.0  12744  2140 ?        Ss   18:03   0:00 /usr/sbin/kerneloops
root        1734  0.0  0.1 323780  9584 ?        Ssl  18:03   0:00 /usr/sbin/gdm3
rtkit       1826  0.0  0.0  22940  3376 ?        SNsl 18:03   0:00 /usr/libexec/rtkit-daemon
colord      1966  0.0  0.1 329024 15004 ?        Ssl  18:03   0:00 /usr/libexec/colord
root        2011  0.0  0.1 325516  9372 ?        Ssl  18:03   0:00 /usr/libexec/upowerd
root        2335  0.0  0.1 399036 11164 ?        Sl   18:03   0:00 gdm-session-worker [pam/gdm-password]
brigitte    2347  0.0  0.1  21280 12676 ?        Ss   18:04   0:01 /usr/lib/systemd/systemd --user
